mag_X,mag_Y,mag_Z,ADC1_CH1,ADC1_CH2,ADC1_CH3,ADC1_CH4,ADC1_CH5,ADC1_CH6
-62.6246,50.6432,117.1511,0.1,0.45,1.5,0.1,1.45,0.23
0.0198,0.0198,0.0381,0.09,0.09,1.15,0.82,1.6,0.23
-64.4099,45.3666,118.6007,0.1,0.06,0.92,0.92,1.66,0.22
-75.6771,63.7354,122.5681,0.16,0.05,1,0.91,1.6,0.18
0.0198,0.0198,0.0381,0.16,0.09,0.52,1.06,1.71,0.17
0.0198,0.0198,0.0381,0.94,0.1,0.06,0.91,1.64,0.19
-75.0027,35.5276,124.094,1.59,0.16,0.13,0.16,1.1,0.18
-73.9712,44.6921,124.094,1.22,0.79,0.12,0.06,1.33,0.18
-59.4903,58.4588,123.4836,0.43,0.67,0.1,0.04,1.94,0.17
0.0198,0.0198,0.0381,0.16,0.62,0.13,0.05,2.03,0.16
0.0198,0.0198,0.0381,0.04,1.15,0.57,0.1,1.57,0.16
0.0198,0.0198,0.0381,0.08,1.29,1.31,0.17,0.82,0.12
0.0198,0.0198,0.0381,0.12,0.62,1.79,0.16,0.98,0.12
0.0198,0.0198,0.0381,0.12,0.04,1.07,0.6,1.75,0.16
0.0198,0.0198,0.0381,0.12,1.94,0.1,0.12,0,0.34
0.0198,0.0198,0.0381,0.09,1.63,1.22,0.1,0.09,0.23
0.0198,0.0198,0.0381,0.05,1,1.75,0.12,0.72,0.19
0.0198,0.0198,0.0381,0.06,0.04,2.01,0.14,0.93,0.19
0.0198,0.0198,0.0381,0.12,0.05,1.81,1.14,0.27,0.22
-50.9606,56.9116,118.8296,0.14,0.1,0.8,1.9,0,0.38
0.0198,0.0198,0.0381,0.41,0.09,0.05,1.99,0.48,0.22
0.0198,0.0198,0.0381,1.18,0.05,0.05,1.09,1.27,0.21
-80.4776,59.0143,120.9659,1.58,0.06,0.05,0.31,1.16,0.21
0.0198,0.0198,0.0381,1.89,0.5,0.1,0.05,0.67,0.22
0.0198,0.0198,0.0381,1.45,1.2,0.14,0.05,0.43,0.19
0.0198,0.0198,0.0381,0.43,1.84,0.13,0.09,0.47,0.22
-65.7191,65.4017,119.2111,0.12,1.71,1.05,0.1,0.25,0.23
0.0198,0.0198,0.0381,0.1,1.01,1.85,0.1,0.28,0.23
0.0198,0.0198,0.0381,0.08,0.49,1.98,0.13,0.83,0.22
-69.6071,54.1344,116.3882,0.12,0.05,1.16,1.45,0.88,0.22
0.0198,0.0198,0.0381,1.01,0.12,0.08,1.68,0.54,0.23
0.0198,0.0198,0.0381,1.31,0.08,0.05,0.58,1.44,0.22
0.0198,0.0198,0.0381,1.28,0.54,0.05,0.09,1.49,0.22
0.0198,0.0198,0.0381,1.38,0.97,0.1,0.06,0.94,0.23
0.0198,0.0198,0.0381,0.97,1.57,0.17,0.09,0.48,0.21
-71.3924,44.6525,118.0667,0.04,1.85,0.36,0.12,0.61,0.22
0.0198,0.0198,0.0381,0.1,1.15,1.57,0.1,0.71,0.25
0.0198,0.0198,0.0381,0.12,0.09,2.1,0.09,0.62,0.26
-70.0038,47.4693,115.9304,0.12,0.04,1.89,0.56,1.04,0.25
-84.445,54.1741,121.5763,0.13,0.01,1.49,0.7,1.38,0.21
0.0198,0.0198,0.0381,0.17,0.09,0.47,1.23,1.6,0.22
-63.3387,60.5615,124.7807,0.57,0.16,0.04,1.01,1.71,0.21
-70.4005,44.3748,121.8814,1.45,0.13,0.14,0.06,1.31,0.25
-79.2081,42.9465,124.8569,1.49,0.91,0.19,0.1,0.8,0.22
0.0198,0.0198,0.0381,0.8,1.28,0.16,0.12,1.23,0.23
-54.2535,42.9465,123.0259,0.05,0.88,0.62,0.12,1.84,0.23
0.0198,0.0198,0.0381,0.1,0.94,1.38,0.18,1.19,0.21
0.0198,0.0198,0.0381,0.17,0.52,2.02,0.18,0.6,0.16
-69.0517,58.4588,122.1866,0.19,0.05,1.79,0.69,1.04,0.17
0.0198,0.0198,0.0381,0.14,0.09,0.57,1.09,1.68,0.22
-71.8288,35.8846,126.3066,0.49,0.1,0.08,1.04,1.72,0.22
-58.1415,58.8159,127.0695,0.87,0.17,0.09,0.98,1.6,0.16
0.0198,0.0198,0.0381,0.23,0.08,1.72,0.91,0.84,0.13
0.0198,0.0198,0.0381,0.22,0.14,0.96,1.58,0.79,0.12
0.0198,0.0198,0.0381,0.34,0.18,0.05,1.38,1.46,0.18
0.0198,0.0198,0.0381,1.14,0.14,0.12,0.5,1.72,0.25
-78.2956,51.0796,129.2821,1.23,0.34,0.17,0.06,1.57,0.25
-63.1006,51.0796,126.6117,1.26,0.5,0.25,0.06,1.45,0.21
-54.2931,39.0982,128.6717,1.2,0.79,0.3,0.1,1.35,0.18
-61.355,41.9547,127.3747,0.65,1.26,0.26,0.19,1.33,0.19
-69.4087,54.6105,127.0695,0.09,1.59,0.87,0.27,0.91,0.19
-65.9571,64.5289,129.2058,0.21,0.98,1.8,0.26,0.36,0.16
0.0198,0.0198,0.0381,0.26,0.04,2.04,0.18,0.71,0.18
-69.8054,43.3433,126.5354,0.23,0.06,1.35,0.57,1.6,0.23
-76.8673,41.9547,130.9606,0.22,0.09,0.71,0.71,1.93,0.26
0.0198,0.0198,0.0381,0.21,0.18,0.34,1.2,1.66,0.25
-56.3958,48.6595,130.4265,0.71,0.28,0.1,1.68,0.89,0.18
-62.0691,43.7003,129.5109,1.67,0.21,0.3,0.27,1,0.21
-72.6619,55.7214,131.8761,1.05,1.11,0.3,0.16,1.15,0.26
-68.4169,38.4237,129.6635,0.13,1.5,0.93,0.41,1.09,0.19
-63.18,46.5568,130.2739,0.72,0.54,0.16,1.79,0.76,0.27
-67.1473,46.7552,119.5926,1.67,0.87,0.17,0.08,0.75,0.32
0.0198,0.0198,0.0381,0.23,0.14,0.72,1.89,0.49,0.32
0.0198,0.0198,0.0381,0.43,0.12,0.04,1.49,1.31,0.34
0.0198,0.0198,0.0381,1.33,0.17,0.09,0.39,1.45,0.34
0.0198,0.0198,0.0381,1.82,0.52,0.25,0.05,0.7,0.26
-67.187,37.2732,121.1948,1.35,1.23,0.28,0.12,0.54,0.23
0.0198,0.0198,0.0381,0.06,1.71,0.18,0.18,0.93,0.27
-58.3795,64.7272,122.6444,0.13,1.29,1.22,0.16,1,0.28
0.0198,0.0198,0.0381,0.14,0.84,1.71,0.17,0.96,0.27
-74.963,47.1916,120.737,0.14,0.56,1.79,0.22,1.06,0.21
0.0198,0.0198,0.0381,0.19,0.01,1.73,0.43,1.23,0.18
-67.5837,51.397,120.2029,0.21,0.09,1.05,1.29,1.19,0.22
-54.1741,41.5183,121.8814,0.32,0.18,0.05,1.89,0.66,0.22
0.0198,0.0198,0.0381,0.32,0.1,0.91,1.1,1.48,0.17
0.0198,0.0198,0.0381,1.16,0.87,0.25,0.08,1.38,0.35
0.0198,0.0198,0.0381,0.12,0.53,1.49,0.3,1.53,0.32
-77.3434,42.9068,121.2711,0.17,0.01,1.36,0.62,1.64,0.32
-78.0972,59.0936,118.0667,0.12,1.19,1.68,0.31,0.57,0.35
0.0198,0.0198,0.0381,0.19,0.45,2.14,0.34,0.6,0.34
-59.4507,62.3072,121.9577,0.63,0.25,0.03,1.46,1.38,0.28
0.0198,0.0198,0.0381,1.27,0.36,0.1,0.98,1.42,0.28
0.0198,0.0198,0.0381,1.48,0.61,0.21,0.06,1.32,0.4
0.0198,0.0198,0.0381,1.09,1.41,0.31,0.16,0.92,0.45
0.0198,0.0198,0.0381,0.4,1.66,0.41,0.18,1.14,0.43
0.0198,0.0198,0.0381,0.06,1.23,0.56,0.23,1.62,0.36
-62.3072,37.9873,120.5844,0.05,1.02,1.06,0.39,1.66,0.36
-68.2979,50.6432,119.0585,0.21,0.67,1.84,0.54,1.13,0.41
0.0198,0.0198,0.0381,0.47,0.04,2.1,1.01,0.56,0.38
-61.6327,55.2453,120.0504,0.6,0.12,1.4,1.37,0.98,0.44
0.0198,0.0198,0.0381,0.52,0.18,0.28,1.28,1.72,0.6
-80.2792,46.7948,125.4673,0.94,0.26,0.08,0.94,1.84,0.67
0.0198,0.0198,0.0381,1.32,0.44,0.16,0.83,1.6,0.61
0.0198,0.0198,0.0381,1.5,0.58,0.35,0.56,1.23,0.45
-57.705,44.0177,121.3474,1.46,0.79,0.56,0.06,1.22,0.47
0.0198,0.0198,0.0381,0.76,1.46,0.47,0.27,1.13,0.58
-73.257,63.7354,125.0858,0.14,1.73,0.69,0.45,0.78,0.54
0.0198,0.0198,0.0381,0.21,1.32,1.28,0.45,0.96,0.5
-66.8696,40.09,121.5763,0.21,0.87,1.32,0.43,1.44,0.48
0.0198,0.0198,0.0381,0.26,0.4,1.35,0.39,1.6,0.45
0.0198,0.0198,0.0381,0,1.2,0.61,0,0,1.23
0.0198,0.0198,0.0381,0,0.72,1.35,0,0,1.16
0.0198,0.0198,0.0381,0,0,1.68,0,0,1.04
0.0198,0.0198,0.0381,0,0,1.66,0.54,0,0.96
0.0198,0.0198,0.0381,0,0,0.89,1.48,0,0.66
0.0198,0.0198,0.0381,0.22,0,0,1.93,0,0.19
0.0198,0.0198,0.0381,0,1.68,0.79,0,0,0.43
0.0198,0.0198,0.0381,0,0.71,1.66,0,0,0.85
0.0198,0.0198,0.0381,0,0,1.88,0.57,0,0.78
0.0198,0.0198,0.0381,0,0,0.83,1.64,0,0.53
0.0198,0.0198,0.0381,0.34,0,0,1.89,0,0.44
0.0198,0.0198,0.0381,1.41,0,0,1.28,0,0.04
0.0198,0.0198,0.0381,1.98,0,0,0,0.18,0.01
-66.3142,55.404,117.1511,0.04,0,0,1.97,0,0.26
0.0198,0.0198,0.0381,1.24,0,0,1.48,0.18,0.03
0.0198,0.0198,0.0381,1.86,0,0,0.62,0,0.45
0.0198,0.0198,0.0381,1.79,0.3,0,0,0,0.97
0.0198,0.0198,0.0381,1.24,1.27,0,0,0,0.65
0.0198,0.0198,0.0381,0.01,1.88,0.01,0,0.1,0.04
0.0198,0.0198,0.0381,0,1.72,0.94,0,0.1,0.05
0.0198,0.0198,0.0381,0,0,1.98,0.38,0,0.75
0.0198,0.0198,0.0381,0.01,0,1.67,1.13,0,0.32
0.0198,0.0198,0.0381,0.01,0,0.82,1.88,0.06,0.14
0.0198,0.0198,0.0381,0.41,0,0.01,2.03,0.16,0.08
0.0198,0.0198,0.0381,0.01,1.64,1.15,0.03,0.05,0.12
0.0198,0.0198,0.0381,0.01,0.8,1.99,0.05,0.4,0.1
0.0198,0.0198,0.0381,0.03,0.01,2.26,0.43,0.04,0.13
-69.8451,63.8941,116.5408,0.08,0.01,1.53,1.35,0,0.36
-64.2115,60.0061,118.4482,0.12,0.01,0.53,2.01,0,0.31
0.0198,0.0198,0.0381,0.67,0.03,0.03,1.95,0.34,0.18
0.0198,0.0198,0.0381,2.03,0.09,0.04,0.04,0.36,0.21
0.0198,0.0198,0.0381,1.76,0.87,0.06,0.01,0.54,0.17
0.0198,0.0198,0.0381,0.97,1.62,0.12,0.03,0.38,0.19
0.0198,0.0198,0.0381,0.06,1.45,1.26,0.12,0,0.66
0.0198,0.0198,0.0381,0.06,0.62,2.11,0.12,0.06,0.22
-61.6724,56.7926,131.342,0,0,0,0,0,0
-69.131,44.4541,129.5872,0,0,0,0,0,0
-73.3364,46.5568,131.4946,0,0,0,0,0,0
-69.4087,48.3024,129.4347,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
-56.0388,40.1694,128.9769,0,0,0,0,0,0
-68.0201,53.579,128.1376,0,0,0,0,0,0
-64.4495,59.2126,130.7317,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
-73.6538,42.6688,129.2058,0,0,0,0,0,0
-56.7132,46.8742,128.0613,0,0,0,0,0,0
-56.3561,41.5183,126.6117,0,0,0,0,0,0
-70.4799,54.6105,128.2139,0,0,0,0,0,0
-64.0925,48.6198,126.3828,0,0,0,0,0,0
-69.369,40.8438,126.6117,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
-57.3877,45.4459,125.3147,0,0,0,0,0,0
0.0198,0.0198,0.0381,1,0,0,1.7,0,0.26
0.0198,0.0198,0.0381,1.86,0.01,0,0.72,0.13,0.06
0.0198,0.0198,0.0381,1.92,0.39,0,0,0.49,0.04
0.0198,0.0198,0.0381,1.35,1.23,0.01,0,0.28,0.06
0.0198,0.0198,0.0381,0.54,1.79,0.04,0,0,0.57
-80.0412,54.4121,117.0748,0.01,1.62,0.66,0.03,0,0.85
0.0198,0.0198,0.0381,0,1.05,1.76,0.03,0,0.31
0.0198,0.0198,0.0381,0,0.14,2.24,0.05,0.28,0.09
0.0198,0.0198,0.0381,0.01,0,1.89,1,0.22,0.09
0.0198,0.0198,0.0381,0.06,0,0.91,1.81,0.06,0.16
0.0198,0.0198,0.0381,0.28,0.01,0,2.04,0.17,0.09
0.0198,0.0198,0.0381,1.28,0.04,0.01,1.54,0.27,0.13
0.0198,0.0198,0.0381,1.95,0.04,0.03,0.58,0.1,0.16
0.0198,0.0198,0.0381,1.97,0.65,0.04,0.03,0.09,0.17
0.0198,0.0198,0.0381,1.18,1.41,0.05,0.01,0.45,0.14
-55.8404,44.9302,119.7452,0.01,1.86,0.1,0.01,0.54,0.13
0.0198,0.0198,0.0381,0.03,1.75,1.02,0.05,0.08,0.17
-74.4472,63.2197,116.6171,0.05,0.89,1.8,0.1,0,0.66
0.0198,0.0198,0.0381,0.06,0.01,2.23,0.23,0,0.31
-67.068,41.3993,117.0748,0.05,0.01,1.73,1.13,0.5,0.18
-72.7016,41.3993,119.9741,0.06,0.03,0.67,1.8,0.76,0.18
0.0198,0.0198,0.0381,0.49,0.05,0.01,1.95,0.5,0.19
0.0198,0.0198,0.0381,1.36,0.09,0.01,1.45,0.38,0.18
0.0198,0.0198,0.0381,1.94,0.12,0.05,0.44,0.49,0.19
0.0198,0.0198,0.0381,1.86,0.79,0.08,0.06,0.32,0.23
-79.0494,57.586,121.8051,1.1,1.55,0.08,0.08,0.12,0.23
0.0198,0.0198,0.0381,0.09,1.92,0.1,0.08,0.31,0.22
0.0198,0.0198,0.0381,0.03,1.57,1.05,0.08,0.8,0.19
0.0198,0.0198,0.0381,0.05,0.88,1.88,0.1,0.58,0.19
0.0198,0.0198,0.0381,0.12,0.03,2.25,0.39,0,0.22
0.0198,0.0198,0.0381,0.13,0.05,1.64,1.28,0,0.21
0.0198,0.0198,0.0381,0.1,0.05,0.63,1.88,0.6,0.19
0.0198,0.0198,0.0381,0.66,0.04,0.05,1.58,1.13,0.19
0.0198,0.0198,0.0381,1.42,0.06,0.05,1.04,0.93,0.21
0.0198,0.0198,0.0381,1.93,0.13,0.08,0.36,0.67,0.21
0.0198,0.0198,0.0381,1.8,0.84,0.1,0.03,0.61,0.21
-70.2815,49.2149,119.0585,0.96,1.63,0.12,0.06,0.52,0.26
0.0198,0.0198,0.0381,0.09,1.95,0.38,0.09,0.18,0.3
0.0198,0.0198,0.0381,0.08,1.49,1.4,0.1,0.25,0.31
0.0198,0.0198,0.0381,0.05,0.79,1.92,0.18,0.85,0.26
0.0198,0.0198,0.0381,0.06,0.01,1.92,0.4,1.11,0.25
-68.1788,53.0632,116.6934,0.16,0.04,1.55,1.32,0.7,0.31
-61.474,49.8894,119.0585,0.82,0.14,0.04,1.86,0.56,0.35
0.0198,0.0198,0.0381,1.42,0.13,0.05,0.87,1.22,0.38
-79.8428,57.2686,123.4073,1.59,0.4,0.06,0.09,1.23,0.4
0.0198,0.0198,0.0381,0.12,1.37,1.49,0.23,0.5,0.41
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,1.82,0.09,0.06,0.23,0.84,0.28
0.0198,0.0198,0.0381,1.66,0.87,0.1,0.05,0.7,0.28
-61.117,46.3584,119.44,1.05,1.45,0.17,0.05,0.65,0.25
0.0198,0.0198,0.0381,0.13,0.66,2.08,0.13,0.04,0.26
-61.7914,55.4833,117.38,0.14,0.04,2.19,0.7,0.18,0.25
0.0198,0.0198,0.0381,0.12,0.03,1.48,1.06,1.01,0.22
0.0198,0.0198,0.0381,0.12,0.04,0.53,1.4,1.38,0.21
0.0198,0.0198,0.0381,1.45,0.13,0.06,1.23,0.5,0.21
-59.7681,45.3269,119.5926,1.89,0.12,0.1,0.03,0.67,0.21
0.0198,0.0198,0.0381,1.4,0.97,0.09,0.06,0.85,0.21
0.0198,0.0198,0.0381,0.65,1.63,0.08,0.09,0.82,0.21
0.0198,0.0198,0.0381,0.05,1.79,0.36,0.09,0.72,0.19
0.0198,0.0198,0.0381,0.03,1.53,1.02,0.12,0.84,0.17
0.0198,0.0198,0.0381,0.06,0.82,1.75,0.13,0.88,0.17
0.0198,0.0198,0.0381,0.12,0.04,2.06,0.71,0.54,0.18
0.0198,0.0198,0.0381,0.12,0.08,1.36,1.46,0.38,0.18
-63.9734,49.2149,121.1948,0.12,0.08,0.44,1.79,0.79,0.18
-78.0575,54.4915,123.8651,0.45,0.06,0.03,1.23,1.51,0.17
-65.7588,48.4611,121.6526,1.67,0.1,0.09,0.12,0.97,0.17
0.0198,0.0198,0.0381,1.67,0.84,0.13,0.04,0.61,0.14
0.0198,0.0198,0.0381,0.83,1.54,0.13,0.08,0.72,0.14
-65.4017,58.3398,122.4918,0.05,1.63,0.58,0.09,0.92,0.16
0.0198,0.0198,0.0381,0.06,1.09,1.5,0.09,0.84,0.16
0.0198,0.0198,0.0381,0.08,0.62,1.84,0.13,0.89,0.14
0.0198,0.0198,0.0381,0.1,0.17,1.82,0.16,1.1,0.12
-75.6374,54.4915,122.034,0.13,0.03,1.37,0.93,1.24,0.12
0.0198,0.0198,0.0381,0.13,0.08,0.01,1.76,0.91,0.14
0.0198,0.0198,0.0381,0.88,0.12,0.04,1.67,0.65,0.14
0.0198,0.0198,0.0381,1.35,0.12,0.06,0.87,1.09,0.16
0.0198,0.0198,0.0381,0.79,1.48,0.17,0.08,0.94,0.16
-75.6374,43.2639,125.3147,0.05,1.85,0.25,0.13,0.52,0.13
-72.4636,47.866,122.034,0.05,1.4,1.24,0.17,0.76,0.14
-68.7343,49.7704,109.9794,0,0,0.49,1.6,0,0.7
0.0198,0.0198,0.0381,0,0,0.01,1.99,0.16,0.03
-63.3387,42.7085,107.4617,0,0,0,0,0,0
-64.4099,32.3537,109.2927,0,0,0,0,0,0
-78.97,45.8824,111.2001,0,0,0,0,0,0
-75.3597,51.5953,111.1238,0,0,0,0,0,0
-65.4017,47.3106,110.7424,0,0,0,0,0,0
-69.6864,34.0993,111.0475,0,0,0,0,0,0
-68.9326,45.4856,109.5216,0,0,0,0,0,0
-55.8007,54.3725,111.3527,0,0,0,0,0,0
-56.8322,50.0877,110.132,0,0,0,0,0,0
-75.6771,48.6595,112.1157,0,0,0,0,0,0
-78.5336,54.3725,114.2519,0,0,0,0,0,0
-63.9734,49.4133,111.3527,0,0,0,0,0,0
-58.6572,34.7738,111.2001,0,0,0,0,0,0
-65.3223,44.7715,111.5053,0,0,0,0,0,0
-63.8941,62.1881,115.0149,0,0,0,0,0,0
-70.6783,43.3433,113.0312,0,0,0,0,0,0
-75.9945,45.4459,115.3964,0,0,0,0,0,0
-52.1904,44.6921,113.1075,0,0,0,0,0,0
-63.18,45.803,112.726,0,0,0,0,0,0
-66.0365,49.6513,114.7097,0,0,0,0,0,0
-55.3643,55.7214,115.3964,0,0,0,0,0,0
0.0198,0.0198,0.0381,0.38,0.1,0.03,1.35,1.49,0.26
-73.5744,40.09,121.2711,1.71,0.32,0.13,0.09,0.88,0.28
0.0198,0.0198,0.0381,1.18,0.93,0.14,0.08,1.22,0.28
-57.705,52.8252,121.0422,0.39,1.09,0.14,0.06,1.6,0.27
0.0198,0.0198,0.0381,0.06,1.26,0.54,0.1,1.5,0.27
0.0198,0.0198,0.0381,0.14,0.72,1.86,0.19,0.67,0.23
-67.6234,51.0796,119.5926,0.16,0.04,1.73,0.58,1.16,0.25
-63.7354,39.4156,120.0504,0.12,0.08,0.78,1.1,1.53,0.26
0.0198,0.0198,0.0381,0.22,0.09,0.09,1.32,1.51,0.26
-67.2663,54.6105,121.7288,0.45,0.12,0.04,1.24,1.51,0.23
-60.9186,57.3877,124.3992,0.89,0.14,0.05,0.96,1.58,0.21
-63.061,50.3258,123.1785,1.23,0.12,0.1,0.04,1.55,0.21
-76.788,53.1823,124.6281,0.54,1.6,0.14,0.13,0.85,0.18
-59.4903,43.3433,123.331,0.05,0.89,0.85,0.13,1.66,0.18
-63.418,43.7003,121.0422,0.09,0.43,1.36,0.14,1.53,0.18
-72.5826,46.1997,126.3066,0.79,0.12,0.06,0.96,1.63,0.17
0.0198,0.0198,0.0381,0.56,0.22,0.06,1.57,1.09,0.14
0.0198,0.0198,0.0381,0.35,0.08,1.89,0.74,0.83,0.18
-71.2337,51.8334,129.9687,0.76,0.34,0.12,1.14,1.53,0.28
-69.5674,51.516,131.9524,0.98,0.49,0.25,1.36,1.18,0.43
-62.7832,45.2079,130.2739,1.72,0.44,0.52,0.75,0.65,0.31
-62.1088,40.2487,130.9606,1.94,0.52,0.7,0.16,0.32,0.25
-66.3142,45.4856,131.342,1.32,1.27,0.65,0.38,0.49,0.28
-60.0061,54.3725,131.1894,0.28,1.63,1.1,0.62,0.53,0.38
-61.0773,50.0877,129.4347,0.48,0.98,1.81,0.56,0.36,0.34
0.0198,0.0198,0.0381,0.19,0.03,1.48,1.02,1.13,0.21
-77.0657,51.397,123.9414,1.48,0.4,0.12,0.05,1.31,0.31
0.0198,0.0198,0.0381,1.31,0.96,0.19,0.05,1.18,0.28
0.0198,0.0198,0.0381,0.08,1.33,1.38,0.28,0.85,0.3
0.0198,0.0198,0.0381,0.16,0.54,2.07,0.38,0.5,0.31
0.0198,0.0198,0.0381,0.44,0.13,0.39,1.24,1.64,0.38
0.0198,0.0198,0.0381,0.8,0.32,0.04,1.41,1.29,0.39
0.0198,0.0198,0.0381,0.04,1.8,0.18,0.19,0.54,0.23
-67.6234,51.754,122.3392,0.08,1.59,0.88,0.21,0.79,0.23
-62.3468,57.7844,124.6281,0.22,0.12,0.92,1.66,0.58,0.16
0.0198,0.0198,0.0381,0.35,0.16,0.03,1.73,0.87,0.17
-60.6409,44.0574,125.5436,0.98,1.29,0.21,0.09,0.84,0.14
-61.355,56.8322,112.8023,0,1.41,0.61,0,0,0.94
0.0198,0.0198,0.0381,0,0.63,1.49,0,0,1.01
0.0198,0.0198,0.0381,0,0,1.75,0.57,0,0.72
0.0198,0.0198,0.0381,0,0,1.16,1.29,0,0.53
0.0198,0.0198,0.0381,0.62,0,0,1.41,0,0.98
0.0198,0.0198,0.0381,1.49,0,0,0.84,0,0.76
0.0198,0.0198,0.0381,0,1.33,0.63,0,0,1.05
0.0198,0.0198,0.0381,0,0,1.59,0.91,0,0.6
0.0198,0.0198,0.0381,0,0,0.57,1.81,0,0.28
0.0198,0.0198,0.0381,0,0.05,1.84,0,0,0.75
0.0198,0.0198,0.0381,0.16,0,0,1.53,0,0.97
0.0198,0.0198,0.0381,1.01,0,0,1.27,0,0.8
0.0198,0.0198,0.0381,1.88,0.44,0,0,0,0.26
0.0198,0.0198,0.0381,1.1,1.23,0,0,0,0.7
0.0198,0.0198,0.0381,0.03,1.58,0.12,0,0,0.88
0.0198,0.0198,0.0381,0,1.33,0.98,0,0,0.79
0.0198,0.0198,0.0381,0,0.71,1.66,0,0,0.75
0.0198,0.0198,0.0381,0,0,1.86,0.35,0,0.76
0.0198,0.0198,0.0381,0,0,1.31,1.28,0,0.41
-75.4391,57.1496,120.2029,0,0,0,1.94,0,0.09
0.0198,0.0198,0.0381,0.79,0,0,1.73,0,0.18
0.0198,0.0198,0.0381,1.53,0,0,0.91,0,0.7
0.0198,0.0198,0.0381,1.8,0.12,0,0,0,0.89
0.0198,0.0198,0.0381,0,0.12,2.1,0.04,0,0.43
-63.18,48.7785,112.8786,0,0,1.77,0.94,0,0.32
0.0198,0.0198,0.0381,0.01,0,0.84,1.7,0,0.4
-70.1625,58.9349,119.1348,1.37,0,0,1.31,0.31,0.05
0.0198,0.0198,0.0381,1.97,0.03,0,0.01,0.28,0.06
0.0198,0.0198,0.0381,1.82,0.78,0,0,0,0.41
0.0198,0.0198,0.0381,0.97,1.45,0.03,0.01,0,0.75
0.0198,0.0198,0.0381,0.01,1.42,1.35,0.01,0,0.12
-58.9349,48.7785,113.2601,0.01,0.49,2.12,0.04,0,0.19
0.0198,0.0198,0.0381,0.03,0,2.04,0.7,0,0.22
-68.8136,50.5241,116.9986,0.08,0.01,0.16,2.02,0.17,0.13
0.0198,0.0198,0.0381,0,0,0,0,0,0
-59.5697,45.803,128.2139,0,0,0,0,0,0
-57.8241,43.0259,129.8161,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
-66.2745,46.8742,127.985,0,0,0,0,0,0
-68.3772,42.6688,127.1458,0,0,0,0,0,0
0.0198,0.0198,0.0381,1.82,0.72,0,0,0.21,0.04
0.0198,0.0198,0.0381,0,1.35,1.27,0.01,0,0.48
0.0198,0.0198,0.0381,0.05,0,0.04,1.98,0.27,0.05
0.0198,0.0198,0.0381,0.93,0.01,0,1.67,0.45,0.05
-66.0365,49.453,118.2193,1.81,0.04,0,0.78,0.12,0.1
0.0198,0.0198,0.0381,1.93,0.26,0.03,0.01,0,0.53
0.0198,0.0198,0.0381,1.4,1.24,0.04,0.01,0,0.36
0.0198,0.0198,0.0381,0.35,1.85,0.05,0.01,0.14,0.1
-58.2605,52.3095,117.0748,0.01,1.71,0.94,0.03,0.12,0.1
-69.4881,51.2779,114.8623,0.01,0.93,1.85,0.06,0,0.27
0.0198,0.0198,0.0381,0.03,0,2.21,0.22,0,0.16
-69.8451,53.7377,117.2274,0.05,0,1.7,1.2,0.13,0.1
0.0198,0.0198,0.0381,0.08,0.03,0.7,1.92,0.14,0.13
-64.6082,42.4704,118.2956,0.58,0.04,0.03,1.94,0.17,0.14
0.0198,0.0198,0.0381,0.13,0.03,1.15,1.66,0.34,0.18
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
-55.8404,47.7867,117.38,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,1.76,0.16,0.05,0.38,0.87,0.25
0.0198,0.0198,0.0381,1,1.55,0.14,0.08,0.36,0.3
0.0198,0.0198,0.0381,0.06,1.48,1.33,0.14,0.22,0.28
0.0198,0.0198,0.0381,0.08,0.56,1.97,0.13,0.75,0.28
-66.7109,49.8497,113.3364,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
-70.2419,47.0329,114.4808,0,0,0,0,0,0
-60.7599,53.698,113.7942,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,1.8,0.12,0.05,0.36,0.76,0.23
0.0198,0.0198,0.0381,1.57,0.85,0.06,0.05,0.78,0.25
0.0198,0.0198,0.0381,1,1.5,0.13,0.06,0.54,0.23
0.0198,0.0198,0.0381,0.1,1.88,0.21,0.09,0.32,0.21
0.0198,0.0198,0.0381,0.04,1.5,1.29,0.14,0.39,0.22
0.0198,0.0198,0.0381,0.09,0.53,2.11,0.16,0.31,0.25
