mag_X,mag_Y,mag_Z,ADC1_CH1,ADC1_CH2,ADC1_CH3,ADC1_CH4,ADC1_CH5,ADC1_CH6
0.0198,0.0198,0.0381,0.05,0.04,1.73,0.49,1.82,0.27
0.0198,0.0198,0.0381,0.05,0.92,1.88,0.28,1.48,0.27
0.0198,0.0198,0.0381,0.09,1.26,2.1,0.34,0.38,0.32
0.0198,0.0198,0.0381,0.17,1.45,1.79,0.34,0.01,0.7
0.0198,0.0198,0.0381,0.21,1.86,1.33,0.3,0,0.63
0.0198,0.0198,0.0381,0.25,1.29,0.85,0.05,1.88,0.32
0.0198,0.0198,0.0381,0.19,0.53,0.56,0,2.33,0.27
0.0198,0.0198,0.0381,0.31,0.28,0.14,0.41,2.36,0.22
0.0198,0.0198,0.0381,0.7,0.26,0.16,0.4,2.26,0.22
0.0198,0.0198,0.0381,1,0.26,0.17,0.79,2.07,0.18
0.0198,0.0198,0.0381,1.1,0.23,0.16,0.89,1.98,0.16
-19.1424,26.2043,137.6745,1.14,1.13,0.05,0.23,0.09,1.68
-21.9593,17.7142,149.7292,1.05,1.85,0.03,0.18,0.05,0.93
-46.7948,-4.2649,160.1816,0.25,2.1,0.52,0.06,0.88,0.09
-56.7926,-5.6931,156.0616,0.22,1.93,0.91,0.04,1.11,0.08
-66.0365,-6.0899,148.661,0.19,1.79,1.2,0.03,1.07,0.05
-69.9245,-1.4084,141.7182,0.16,1.72,1.54,0.01,0.54,0.05
-73.0983,-0.3769,133.9361,0.13,1.77,1.55,0.01,0.25,0.04
-75.2407,2.4796,129.1295,0.13,1.86,1.38,0.01,0.08,0.39
-75.6374,2.797,126.0014,0.13,1.99,0.76,0.01,0.08,0.93
-76.3119,2.4796,126.0777,0.14,1.67,0.34,0.01,0.05,1.49
-72.3842,97.3388,173.4569,0,0.01,0.13,2.19,0.78,0.05
-85.5955,-0.734,138.7427,0.96,0.03,0,1.16,0.03,1.84
-64.2908,96.585,165.3696,0.61,0,0.08,2.21,0,0.52
-53.6187,94.8394,155.5276,0.97,0.01,0.06,1.16,0,1.8
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0.04,0.21,0.94,1.4,1.84,0.4
0.0198,0.0198,0.0381,1.01,0.12,0.06,0.45,0.49,2.15
-85.3574,52.5872,173.228,0.71,0.18,0.35,0.45,0.56,2.14
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0.05,0,0,0.01,0.04,0
0.0198,0.0198,0.0381,0.49,0.1,0,0,0,1.26
0.0198,0.0198,0.0381,1.23,0,0,0.19,1.79,0
0.0198,0.0198,0.0381,0.36,0.75,0,0,0,1.97
0.0198,0.0198,0.0381,0.72,0,0,0.31,2.1,0
0.0198,0.0198,0.0381,0,1.45,0.39,0,0,1.38
